position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-07-13-8008,OPEN,8008,ヨンドシーホールディングス,小売業,2026-07-13,2109.0,500,1054500.0,2112.0,1056000.0,2177.0,1961.37,2404.26,0.1,4,優先,76.1,履歴開始,1500.0,0.0014224751066855834
2026-07-13-7453,OPEN,7453,良品計画,小売業,2026-07-13,4233.0,200,846600.0,4259.0,851800.0,4370.0,3936.69,4825.62,0.1,4,優先,75.4,履歴開始,5200.0,0.0061422159225135164
2026-07-13-6194,OPEN,6194,アトラエ,サービス業,2026-07-13,816.0,1400,1142400.0,823.0,1152200.0,832.0,758.88,930.24,0.1,4,優先,73.1,履歴開始,9800.0,0.008578431372548989
2026-07-14-7085,OPEN,7085,カーブスホールディングス,サービス業,2026-07-14,986.0,1200,1183200.0,940.0,1128000.0,986.0,916.98,1124.04,0.1,3,優先,75.0,改善,-55200.0,-0.04665314401622722
2026-07-14-8200,OPEN,8200,リンガーハット,小売業,2026-07-14,2388.0,200,477600.0,2302.0,460400.0,2388.0,2220.84,2722.32,0.1,3,優先,74.2,改善,-17200.0,-0.03601340033500833
2026-07-14-4175,OPEN,4175,ｃｏｌｙ,情報・通信業,2026-07-14,2842.0,400,1136800.0,2749.0,1099600.0,2842.0,2643.06,3239.88,0.1,3,優先,72.9,改善,-37200.0,-0.032723434201266666
2026-07-15-7350,OPEN,7350,おきなわフィナンシャルグループ,銀行業,2026-07-15,7300.0,100,730000.0,6830.0,683000.0,7310.0,6789.0,8322.0,0.1,2,優先,82.3,加速,-47000.0,-0.06438356164383563
2026-07-15-7327,OPEN,7327,第四北越フィナンシャルグループ,銀行業,2026-07-15,2361.0,100,236100.0,2202.0,220200.0,2361.0,2195.73,2691.54,0.1,2,優先,77.1,加速,-15900.0,-0.06734434561626435
2026-07-17-3946,OPEN,3946,トーモク,パルプ・紙,2026-07-17,4325.0,200,865000.0,4325.0,865000.0,4325.0,4022.25,4930.5,0.1,0,優先,82.6,改善,0.0,0.0
