position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-08-14-8713,OPEN,8713,フィデアホールディングス,銀行業,2026-08-14,2630.0,400,1052000.0,2660.0,1064000.0,2770.0,2472.2,2945.6,0.1,3,優先,80.1,主導,12000.0,0.011406844106463865
2026-08-14-4118,OPEN,4118,カネカ,化学,2026-08-14,6345.0,100,634500.0,6085.0,608500.0,6345.0,5964.3,7106.4,0.1,3,優先,80.0,減速,-26000.0,-0.04097714736012603
2026-08-14-8304,OPEN,8304,あおぞら銀行,銀行業,2026-08-14,3434.0,300,1030200.0,3342.0,1002600.0,3434.0,3227.96,3846.08,0.1,3,優先,74.8,主導,-27600.0,-0.026790914385556253
