position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-07-15-7350,OPEN,7350,おきなわフィナンシャルグループ,銀行業,2026-07-15,7300.0,100,730000.0,7060.0,706000.0,7310.0,6789.0,8322.0,0.1,4,優先,82.3,加速,-24000.0,-0.0328767123287671
2026-07-15-7327,OPEN,7327,第四北越フィナンシャルグループ,銀行業,2026-07-15,2361.0,100,236100.0,2287.0,228700.0,2361.0,2195.73,2691.54,0.1,4,優先,77.1,加速,-7400.0,-0.031342651418890255
2026-07-17-3946,OPEN,3946,トーモク,パルプ・紙,2026-07-17,4325.0,200,865000.0,4480.0,896000.0,4480.0,4022.25,4930.5,0.1,2,優先,82.6,改善,31000.0,0.03583815028901727
2026-07-21-9831,OPEN,9831,ヤマダホールディングス,小売業,2026-07-21,728.0999755859375,1600,1164959.9609375,728.0999755859375,1164959.9609375,728.0999755859375,677.13,830.04,0.1,0,優先,83.0,改善,0.0,0.0
2026-07-21-7389,OPEN,7389,あいちフィナンシャルグループ,銀行業,2026-07-21,1824.0,600,1094400.0,1824.0,1094400.0,1824.0,1696.32,2079.36,0.1,0,優先,82.8,加速,0.0,0.0
2026-07-21-3864,OPEN,3864,三菱製紙,パルプ・紙,2026-07-21,1226.0,900,1103400.0,1226.0,1103400.0,1226.0,1140.18,1397.64,0.1,0,優先,80.5,加速,0.0,0.0
2026-07-21-7867,OPEN,7867,タカラトミー,その他製品,2026-07-21,3690.0,300,1107000.0,3690.0,1107000.0,3690.0,3431.7,4206.6,0.1,0,優先,78.3,改善,0.0,0.0
2026-07-21-8393,OPEN,8393,宮崎銀行,銀行業,2026-07-21,2363.0,100,236300.0,2363.0,236300.0,2363.0,2197.59,2693.82,0.1,0,優先,78.3,加速,0.0,0.0
2026-07-21-7322,OPEN,7322,三十三フィナンシャルグループ,銀行業,2026-07-21,1932.0,100,193200.0,1932.0,193200.0,1932.0,1796.76,2202.48,0.1,0,優先,78.3,加速,0.0,0.0
2026-07-21-9278,OPEN,9278,ブックオフグループホールディングス,小売業,2026-07-21,2638.0,400,1055200.0,2638.0,1055200.0,2638.0,2453.34,3007.32,0.1,0,優先,75.9,改善,0.0,0.0
