signal_date,entry_price_date,code,name,sector33,entry_close,sector_research_priority,sector_leader_score,sector_leader_grade,sector_rotation,sector_momentum_score,momentum_rank,momentum_score,action_priority,action_score,expectancy_score,expectancy_confidence,relative_strength_score,relative_strength_grade,market_relative_20d,sector_relative_20d
2026-07-13,2026-07-13,8008,ヨンドシーホールディングス,小売業,2109.0,優先,76.1,B,履歴開始,44.0,2,90.0,C,58.0,46.5,中,88.0,S,0.09350641716674768,0.10097024220135198
2026-07-13,2026-07-13,7453,良品計画,小売業,4233.0,優先,75.4,B,履歴開始,44.0,13,75.0,B,72.0,35.2,高,90.2,S,0.14111056091593,0.1485743859505343
2026-07-13,2026-07-13,6194,アトラエ,サービス業,816.0,優先,73.1,B,履歴開始,46.0,8,78.0,,0.0,50.0,蓄積中,94.1,S,0.13872488112691084,0.1275872668090574
2026-07-13,2026-07-13,3276,ＪＰＭＣ,不動産業,1594.0,監視,71.4,B,履歴開始,40.0,1,91.0,,0.0,50.0,蓄積中,95.1,S,0.19426036601187668,0.1896242932753338
2026-07-13,2026-07-13,5018,ＭＯＲＥＳＣＯ,石油・石炭製品,2128.0,監視,71.2,B,履歴開始,39.0,9,78.0,,0.0,50.0,蓄積中,92.3,S,0.09585371559340383,0.11657367455427547
2026-07-13,2026-07-13,3436,ＳＵＭＣＯ,金属製品,5133.0,監視,68.8,B,履歴開始,34.0,22,70.0,B,65.0,35.2,高,98.1,S,0.16700802069358267,0.17428395325727375
2026-07-13,2026-07-13,7803,ブシロード,その他製品,377.0,監視,68.2,B,履歴開始,51.0,4,88.0,,0.0,50.0,蓄積中,98.6,S,0.3406155549055707,0.33563899868247704
2026-07-13,2026-07-13,6136,オーエスジー,機械,4058.0,監視,67.7,C,履歴開始,30.0,23,70.0,B,65.0,35.2,高,96.1,S,0.13742424225244165,0.1450554112582636
2026-07-13,2026-07-13,4424,Ａｍａｚｉａ,情報・通信業,392.0,監視,66.9,C,履歴開始,46.0,3,88.0,,0.0,50.0,蓄積中,99.0,S,0.8237301296936483,0.7974276050623204
2026-07-13,2026-07-13,9997,ベルーナ,小売業,1058.0,監視,65.6,C,履歴開始,44.0,17,73.0,,0.0,50.0,蓄積中,91.1,S,0.08835773644637923,0.09582156148098353
2026-07-13,2026-07-13,7504,高速,卸売業,3910.0,監視,64.9,C,履歴開始,39.0,6,80.0,C,50.0,46.5,中,97.1,S,0.26297665606833354,0.26520386313365474
2026-07-13,2026-07-13,8601,大和証券グループ本社,証券、商品先物取引業,1777.0,監視,63.9,C,履歴開始,67.0,55,60.0,,0.0,50.0,蓄積中,86.9,S,0.08878010899216382,0.06690006623843225
2026-07-13,2026-07-13,8551,北日本銀行,銀行業,6110.0,監視,63.6,C,履歴開始,67.0,14,75.0,見送り,59.0,41.2,高,89.9,S,0.09372114496768247,0.07522139953542384
2026-07-13,2026-07-13,8377,ほくほくフィナンシャルグループ,銀行業,7582.0,監視,63.0,C,履歴開始,67.0,43,63.0,,0.0,50.0,蓄積中,91.1,S,0.13630980598747566,0.11781006055521703
2026-07-13,2026-07-13,8524,北洋銀行,銀行業,1180.0,監視,63.0,C,履歴開始,67.0,47,63.0,,0.0,50.0,蓄積中,83.9,A,0.10062772439334577,0.08212797896108714
2026-07-13,2026-07-13,8628,松井証券,証券、商品先物取引業,1050.0,監視,63.0,C,履歴開始,67.0,49,63.0,,0.0,50.0,蓄積中,81.9,A,0.08226846262892407,0.0603884198751925
2026-07-13,2026-07-13,8095,アステナホールディングス,卸売業,529.0,監視,62.3,C,履歴開始,39.0,18,73.0,C,51.0,33.8,中,79.9,A,0.052066601276478774,0.054293808341799976
