position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-07-13-8008,OPEN,8008,ヨンドシーホールディングス,小売業,2026-07-13,2109.0,500,1054500.0,2146.0,1073000.0,2177.0,1961.37,2404.26,0.1,2,優先,76.1,履歴開始,18500.0,0.01754385964912286
2026-07-13-7453,OPEN,7453,良品計画,小売業,2026-07-13,4233.0,200,846600.0,4166.0,833200.0,4310.0,3936.69,4825.62,0.1,2,優先,75.4,履歴開始,-13400.0,-0.01582801795416966
2026-07-13-6194,OPEN,6194,アトラエ,サービス業,2026-07-13,816.0,1400,1142400.0,824.0,1153600.0,832.0,758.88,930.24,0.1,2,優先,73.1,履歴開始,11200.0,0.009803921568627416
2026-07-14-7085,OPEN,7085,カーブスホールディングス,サービス業,2026-07-14,986.0,1200,1183200.0,962.0,1154400.0,986.0,916.98,1124.04,0.1,1,優先,75.0,改善,-28800.0,-0.024340770791075106
2026-07-14-8200,OPEN,8200,リンガーハット,小売業,2026-07-14,2388.0,200,477600.0,2387.0,477400.0,2388.0,2220.84,2722.32,0.1,1,優先,74.2,改善,-200.0,-0.00041876046901168085
2026-07-14-4175,OPEN,4175,ｃｏｌｙ,情報・通信業,2026-07-14,2842.0,400,1136800.0,2800.0,1120000.0,2842.0,2643.06,3239.88,0.1,1,優先,72.9,改善,-16800.0,-0.014778325123152691
2026-07-15-7350,OPEN,7350,おきなわフィナンシャルグループ,銀行業,2026-07-15,7300.0,100,730000.0,7300.0,730000.0,7300.0,6789.0,8322.0,0.1,0,優先,82.3,加速,0.0,0.0
2026-07-15-8624,OPEN,8624,いちよし証券,証券、商品先物取引業,2026-07-15,1630.0,700,1141000.0,1630.0,1141000.0,1630.0,1515.9,1858.2,0.1,0,優先,80.7,加速,0.0,0.0
2026-07-15-7327,OPEN,7327,第四北越フィナンシャルグループ,銀行業,2026-07-15,2361.0,100,236100.0,2361.0,236100.0,2361.0,2195.73,2691.54,0.1,0,優先,77.1,加速,0.0,0.0
