position_id,status,code,name,sector33,entry_date,entry_price,quantity,cost_basis,current_price,market_value,highest_close,stop_price,target_price,trailing_stop_pct,holding_days,sector_research_priority,sector_leader_score,sector_rotation,unrealized_pnl,unrealized_return
2026-07-24-8388,OPEN,8388,阿波銀行,銀行業,2026-07-24,8680.0,100,868000.0,8210.0,821000.0,8860.0,8072.4,9895.2,0.1,4,優先,83.9,主導,-47000.0,-0.054147465437788034
2026-07-27-9308,OPEN,9308,乾汽船,海運業,2026-07-27,1860.0,100,186000.0,1881.0,188100.0,1881.0,1729.8,2120.4,0.1,3,優先,72.0,低迷,2100.0,0.011290322580645107
2026-07-29-9684,OPEN,9684,スクウェア・エニックス・ホールディングス,情報・通信業,2026-07-29,2923.5,300,877050.0,2893.5,868050.0,2923.5,2718.86,3332.78,0.1,1,優先,81.8,改善,-9000.0,-0.010261672652642329
2026-07-29-8163,OPEN,8163,ＳＲＳホールディングス,小売業,2026-07-29,1440.0,700,1008000.0,1465.0,1025500.0,1465.0,1339.2,1641.6,0.1,1,優先,81.1,改善,17500.0,0.01736111111111116
2026-07-29-3397,OPEN,3397,トリドールホールディングス,小売業,2026-07-29,4584.0,200,916800.0,4509.0,901800.0,4584.0,4263.12,5225.76,0.1,1,優先,77.4,改善,-15000.0,-0.0163612565445026
2026-07-29-9048,OPEN,9048,名古屋鉄道,陸運業,2026-07-29,1994.5,500,997250.0,1951.5,975750.0,1994.5,1854.88,2273.74,0.1,1,優先,75.0,加速,-21500.0,-0.02155928804211582
2026-07-29-9006,OPEN,9006,京浜急行電鉄,陸運業,2026-07-29,1651.5,600,990900.0,1620.5,972300.0,1651.5,1535.89,1882.72,0.1,1,優先,74.2,加速,-18600.0,-0.018770814411141368
2026-07-29-8697,OPEN,8697,日本取引所グループ,その他金融業,2026-07-29,2290.0,400,916000.0,2164.0,865600.0,2290.0,2129.7,2610.6,0.1,1,優先,72.5,改善,-50400.0,-0.055021834061135366
2026-07-30-2501,OPEN,2501,サッポロホールディングス,食料品,2026-07-30,2080.0,400,832000.0,2080.0,832000.0,2080.0,1934.4,2371.2,0.1,0,優先,79.0,減速,0.0,0.0
